model,ImageNet-top1_v1-score,Rajalingham2018-i2n_v2-score
"convnext_xlarge:fb_in22k_ft_in1k",".853",".588"
"vit_base_patch16_clip_224:openai_ft_in12k_in1k",".828",".563"
"vit_large_patch14_clip_224:laion2b_ft_in1k",".845",".607"
"vit_large_patch14_clip_224:openai_ft_in1k",".850",".534"
"vit_base_patch16_clip_224:openai_ft_in1k",".828",".564"
"vit_relpos_base_patch16_clsgap_224:sw_in1k",".792",".538"
"cvt_cvt-w24-384-in22k_finetuned-in1k_4",".835",".600"
"resnext101_32x8d_wsl",".842",".551"
"vit_large_patch14_clip_224:laion2b_ft_in12k_in1k",".852",".617"
"convnext_large:fb_in22k_ft_in1k",".851",".584"
"swin_small_patch4_window7_224:ms_in22k_ft_in1k",".809",".600"
"vit_large_patch14_clip_224:openai_ft_in12k_in1k",".845",".558"
"convnext_tiny_imagenet_full_seed-0",".777",".573"
"deit_large_imagenet_full_seed-0",".795",".554"
"convnext_large_imagenet_full_seed-0",".799",".575"
"deit_base_imagenet_full_seed-0",".777",".564"
"resnext101_32x48d_wsl",".822",".561"
"resnet50-vitoimagevidnet8",".615",".437"
"convnext_base_imagenet_full_seed-0",".798",".549"
"resnet50-VITO-8deg-cc",".616",".447"
"effnetb1_272x240",".777",".549"
"convnext_small_imagenet_full_seed-0",".793",".581"
"grcnn",".732",".520"
"effnetb1_cutmixpatch_augmix_robust32_avge4e7_manylayers_324x288",".476",".652"
"convnext_tiny:in12k_ft_in1k",".805",".570"
"vit_relpos_base_patch32_plus_rpn_256:sw_in1k",".760",".475"
"cvt_cvt-21-384-in22k_finetuned-in1k_4_LucyV4",".766",".606"
"resnext101_32x32d_wsl",".854",".594"
"cvt_cvt-13-224-in1k_4_LucyV4",".764",".519"
"deit_small_imagenet_full_seed-0",".750",".543"
"resnet50_robust_l2_eps1",".671",".485"
"cvt_cvt-13-384-in22k_finetuned-in1k_4_LucyV4",".749",".564"
"cvt_cvt-21-384-in1k_4_LucyV4",".762",".478"
"Res2Net50_26w_4s",".748",".479"
"cvt_cvt-21-224-in1k_4_LucyV4",".766",".470"
"resnext101_32x16d_wsl",".851",".509"
"antialiased-r50",".732",".488"
"resnet50-moclr8deg",".647",".507"
"resnet50_tutorial",".718",".499"
"AdvProp_efficientnet-b6",".741",".448"
"focalnet_tiny_lrf_in1k",".781",".498"
"effnetb1_cutmixpatch_SAM_robust32_avge6e8e9e10_manylayers_324x288",".437",".623"
"resnet_50_v2",".758",".560"
"resnet_SIN_IN_FT_IN",".731",".499"
"efficientnet_b0",".733",".492"
"cvt_cvt-13-384-in1k_4_LucyV4",".774",".505"
"resnet_50_v1",".718",".528"
"AT_efficientnet-b2",".739",".480"
"convnext_base:clip_laiona_augreg_ft_in1k_384",".841",".528"
"convnext_femto_ols:d1_in1k",".729",".512"
"resnet50-SIN_IN",".746",".541"
"shufflenet_v2_x1_0",".643",".500"
"vit_tiny_r_s16_p8_384:augreg_in21k_ft_in1k",".715",".511"
"AdvProp_efficientnet-b2",".739",".410"
"resnet50-SIN",".602",".448"
"resnet50-SIN_IN_IN",".767",".523"
"resnet_50_v1_spiking",".694",".478"
"AdvProp_efficientnet-b4",".718",".408"
"effnetb1_cutmix_augmix_sam_e1_5avg_424x377",".583",".664"
"voneresnet-50-non_stochastic",".702",".530"
"grcnn_109",".745",".521"
"AdvProp_efficientnet-b7",".751",".445"
"efficientnet_b2_imagenet_full",".697",".506"
"nasnet_mobile",".706",".496"
"convnext_tiny_sup",".780",".488"
"resnet50_robust_l2_eps3",".533",".456"
"BiT-S-R50x1",".708",".435"
"BiT-S-R101x1",".720",".449"
"resnet50-sup",".722",".528"
"imagenet_l2_3_0",".533",".456"
"inception_v3",".735",".503"
"resnet-50-robust",".533",".515"
"inception_v1",".662",".532"
"efficientnet_b0_imagenet_full",".681",".488"
"resnet_50_v1_spiking_l4a",".641",".503"
"antialias-resnet152",".758",".490"
"AdvProp_efficientnet-b8",".630",".433"
"ReAlnet10",".641",".555"
"vgg_16",".670",".512"
"voneresnet-50-robust",".653",".545"
"resnet50-vicregl0p9",".001",".496"
"ReAlnet01_ALL",".703",".579"
"ReAlnet04",".648",".527"
"ReAlnet08",".644",".541"
"densenet-201",".722",".537"
"ReAlnet07",".644",".549"
"resnet_50_v1_spiking_l4",".470",".200"
"efficientnet_b1_imagenet_full",".684",".507"
"ReAlnet09",".644",".536"
"convnext_small_imagenet_100_seed-0",".535",".424"
"resnet50_imagenet_100_seed-0",".419",".305"
"ReAlnet01",".645",".546"
"custom_model_cv_18_dagger_408",".641",".562"
"ReAlnet05",".646",".534"
"ReAlnet06_ALL",".702",".574"
"ReAlnet02_ALL",".703",".578"
"ReAlnet03_ALL",".702",".576"
"ReAlnet07_ALL",".704",".568"
"ReAlnet10_ALL",".702",".577"
"densenet-121",".697",".458"
"AlexNet_SIN",".340",".375"
"ReAlnet02",".642",".560"
"ReAlnet03",".644",".545"
"ReAlnet08_ALL",".702",".584"
"blt_vs",".663",".474"
"ReAlnet04_ALL",".704",".582"
"ReAlnet10_cornet",".641",".555"
"ReAlnet05_ALL",".701",".578"
"ViT_L_32_imagenet1k",".744",".324"
"ReAlnet09_ALL",".705",".570"
"ReAlnet08_cornet",".644",".541"
"vgg_19",".675",".451"
"ReAlnet06",".648",".540"
"resnet-152_v2_pytorch",".775",".493"
"ReAlnet07_cornet",".644",".549"
"ReAlnet05_cornet",".646",".534"
"ReAlnet01_cornet",".645",".546"
"ReAlnet09_cornet",".644",".536"
"efficientnet-b7",".726",".471"
"ReAlnet02_cornet",".642",".560"
"ReAlnet04_cornet",".648",".527"
"ReAlnet03_cornet",".644",".545"
"resnet50-barlow",".001",".513"
"deit_small_imagenet_100_seed-0",".293",".245"
"ReAlnet06_cornet",".648",".540"
"BiT-S-R152x2",".728",".446"
"BiT-S-R50x3",".723",".444"
"resnet50-vicregl0p75",".001",".495"
"mobilenet_v2_1-4_224_pytorch",".538",".445"
"alexnet_training_seed_01",".001",".098"
"resnet_101_v2",".776",".554"
"densenet-169",".718",".476"
"BiT-S-R101x3",".730",".462"
"alexnet_ks_torevert",".519",".370"
"mobilenet_v2_1_0_192",".648",".419"
"regnet_y_400mf",".687",".438"
"mobilenet_v2_0_75_192",".628",".427"
"resnet_101_v1",".736",".521"
"alexnet_training_seed_04",".001",".127"
"mobilenet_v2_0_5_224",".616",".365"
"resnet_152_v2",".772",".573"
"mobilenet_v2_0_5_192",".592",".372"
"BiT-S-R152x4",".735",".478"
"artResNet18_1",".001",".096"
"xception",".670",".441"
